Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,6.800000,6.800000,6.680000,6.746666,5.509859,1412850
2018-01-03,6.746666,6.946666,6.746666,6.933333,5.662306,7190550
2018-01-04,6.946666,7.013333,6.946666,7.013333,5.727640,5788500
2018-01-05,7.013333,7.173333,7.013333,7.093333,5.792975,1145250
2018-01-08,7.120000,7.200000,7.120000,7.173333,5.858310,2522550
2018-01-09,7.200000,7.253333,7.106666,7.106666,5.803864,813750
2018-01-10,7.133333,7.200000,7.133333,7.160000,5.847421,939300
2018-01-11,7.160000,7.160000,7.053333,7.066666,5.771196,2837400
2018-01-12,7.053333,7.093333,7.026666,7.066666,5.771196,1373400
2018-01-15,7.106666,7.133333,7.040000,7.066666,5.771196,679050
2018-01-16,7.066666,7.120000,7.040000,7.066666,5.771196,1281900
2018-01-17,7.066666,7.106666,7.040000,7.040000,5.749419,370350
2018-01-18,7.106666,7.106666,7.053333,7.093333,5.792975,3615300
2018-01-19,7.093333,7.093333,7.053333,7.066666,5.771196,977850
2018-01-22,7.066666,7.133333,7.066666,7.106666,5.803864,522450
2018-01-23,7.133333,7.266666,7.133333,7.173333,5.858310,482550
2018-01-24,7.173333,7.200000,7.120000,7.173333,5.858310,227550
2018-01-25,7.173333,7.226666,7.080000,7.133333,5.825643,339750
2018-01-26,7.160000,7.160000,7.026666,7.066666,5.771196,3271200
2018-01-29,7.120000,7.280000,7.093333,7.253333,5.923644,949200
2018-01-30,7.253333,7.320000,7.240000,7.266666,5.934532,1696200
2018-02-02,7.266666,7.346666,7.253333,7.253333,5.923644,3208800
2018-02-05,7.066666,7.333333,7.066666,7.253333,5.923644,1274400
2018-02-06,7.213333,7.226666,7.053333,7.173333,5.858310,413400
2018-02-07,7.200000,7.533333,7.066666,7.253333,5.923644,3073200
2018-02-08,7.266666,7.373333,7.226666,7.280000,5.945422,3357150
2018-02-09,7.200000,7.266666,7.200000,7.213333,5.890976,1368300
2018-02-12,7.280000,7.360000,7.240000,7.240000,5.912755,1012650
2018-02-13,7.266666,7.400000,7.266666,7.320000,5.978089,680700
2018-02-14,7.320000,7.373333,7.280000,7.306666,5.967200,2688600
2018-02-15,7.333333,7.333333,7.306666,7.333333,5.988978,351600
2018-02-16,7.333333,7.333333,7.333333,7.333333,5.988978,0
2018-02-19,7.306666,7.306666,7.200000,7.226666,6.002822,244500
2018-02-20,7.266666,7.266666,7.173333,7.200000,5.980671,229200
2018-02-21,7.186666,7.253333,7.160000,7.200000,5.980671,461700
2018-02-22,7.200000,7.266666,7.173333,7.253333,6.024972,3419700
2018-02-23,7.266666,7.333333,7.266666,7.333333,6.091425,2086950
2018-02-26,7.333333,7.546666,7.333333,7.440000,6.180028,2257950
2018-02-27,7.466666,7.653333,7.426666,7.533333,6.257554,2547150
2018-02-28,7.533333,7.586666,7.440000,7.533333,6.257554,1035750
2018-03-01,7.520000,7.546666,7.400000,7.400000,6.146802,1054050
2018-03-02,7.400000,7.480000,7.333333,7.466666,6.202178,1111200
2018-03-05,7.440000,7.440000,7.133333,7.240000,6.013897,1053000
2018-03-06,7.213333,7.426666,7.213333,7.400000,6.146802,1206900
2018-03-07,7.266666,7.426666,7.266666,7.426666,6.168951,2213100
2018-03-08,7.426666,7.453333,7.386666,7.426666,6.168951,1146450
2018-03-09,7.440000,7.440000,7.413333,7.413333,6.157876,1293150
2018-03-12,7.480000,7.506666,7.400000,7.466666,6.202178,2163450
2018-03-13,7.466666,7.573333,7.453333,7.533333,6.257554,1162200
2018-03-14,7.533333,7.586666,7.533333,7.586666,6.301856,340200
2018-03-15,7.573333,7.586666,7.466666,7.533333,6.257554,411300
2018-03-16,7.493333,7.573333,7.360000,7.400000,6.146802,1399050
2018-03-19,7.413333,7.413333,7.373333,7.386666,6.135726,1093800
2018-03-20,7.360000,7.360000,7.306666,7.346666,6.102499,1094700
2018-03-21,7.346666,7.373333,7.333333,7.346666,6.102499,1324350
2018-03-22,7.346666,7.346666,7.320000,7.320000,6.080349,551850
2018-03-23,7.306666,7.360000,7.280000,7.306666,6.069273,1292700
2018-03-26,7.293333,7.293333,7.093333,7.120000,5.914220,935700
2018-03-27,7.186666,7.253333,7.173333,7.200000,5.980671,1344300
2018-03-28,7.240000,7.293333,7.200000,7.240000,6.013897,907650
2018-03-29,7.266666,7.320000,7.266666,7.306666,6.069273,1779900
2018-03-30,7.293333,7.306666,7.253333,7.266666,6.036047,150150
2018-04-02,7.333333,7.360000,7.253333,7.280000,6.047123,195600
2018-04-03,7.306666,7.333333,7.226666,7.240000,6.013897,2032500
2018-04-04,7.253333,7.266666,7.133333,7.186666,5.969596,1981800
2018-04-05,7.200000,7.200000,7.106666,7.120000,5.914220,708150
2018-04-06,7.120000,7.120000,7.000000,7.066666,5.869918,912000
2018-04-09,7.066666,7.120000,6.946666,6.986666,5.803466,1933350
2018-04-10,6.980000,7.280000,6.980000,7.240000,6.013897,1533100
2018-04-11,7.300000,7.450000,7.250000,7.290000,6.055429,896600
2018-04-12,7.300000,7.300000,7.250000,7.270000,6.038817,616200
2018-04-13,7.300000,7.300000,7.260000,7.270000,6.038817,545300
2018-04-16,7.260000,7.270000,7.250000,7.250000,6.022203,637400
2018-04-17,7.270000,7.540000,7.270000,7.450000,6.188334,1426100
2018-04-18,7.450000,7.550000,7.400000,7.450000,6.188334,1026500
2018-04-19,7.440000,7.580000,7.420000,7.580000,6.296318,406500
2018-04-20,7.580000,7.580000,7.460000,7.500000,6.229866,438500
2018-04-23,7.500000,7.520000,7.360000,7.360000,6.113576,861700
2018-04-24,7.360000,7.360000,7.240000,7.240000,6.013897,490000
2018-04-25,7.250000,7.250000,7.180000,7.210000,5.988978,404000
2018-04-26,7.230000,7.300000,7.220000,7.260000,6.030511,867600
2018-04-27,7.300000,7.360000,7.250000,7.260000,6.030511,418100
2018-04-30,7.280000,7.280000,7.220000,7.220000,5.997285,298700
2018-05-02,7.210000,7.270000,7.180000,7.200000,5.980671,328300
2018-05-03,7.230000,7.250000,7.200000,7.210000,5.988978,187400
2018-05-04,7.210000,7.210000,7.160000,7.160000,5.947446,257900
2018-05-07,7.150000,7.150000,7.110000,7.140000,5.930833,432200
2018-05-08,7.130000,7.350000,7.080000,7.280000,6.047123,2202400
2018-05-14,7.320000,8.190000,7.300000,8.190000,6.803014,3580400
2018-05-15,8.170000,8.200000,7.920000,8.070000,6.703336,2867400
2018-05-16,8.070000,8.100000,7.980000,8.000000,6.645190,4147800
2018-05-17,8.030000,8.070000,7.950000,8.010000,6.653497,3639800
2018-05-18,8.010000,8.140000,8.000000,8.070000,6.703336,1515400
2018-05-21,8.080000,8.120000,7.990000,8.030000,6.670110,901400
2018-05-22,8.040000,8.050000,7.900000,7.990000,6.636884,2780900
2018-05-23,7.990000,7.990000,7.650000,7.710000,6.404303,2706100
2018-05-24,7.700000,7.740000,7.520000,7.580000,6.296318,2470100
2018-05-25,7.550000,7.840000,7.550000,7.840000,6.512287,1374100
2018-05-28,7.820000,7.820000,7.670000,7.680000,6.379383,1206500
2018-05-30,7.680000,7.680000,7.680000,7.680000,6.379383,0
2018-05-31,7.500000,7.500000,7.500000,7.500000,6.229866,0
2018-06-01,7.560000,7.930000,7.550000,7.920000,6.578739,2246200
2018-06-04,7.920000,8.000000,7.850000,7.880000,6.545513,3220300
2018-06-05,7.870000,7.920000,7.870000,7.890000,6.553820,1064600
2018-06-06,7.920000,7.950000,7.860000,7.890000,6.553820,3171600
2018-06-07,7.890000,7.950000,7.830000,7.870000,6.537206,3033100
2018-06-08,7.870000,8.040000,7.870000,7.900000,6.562125,1761900
2018-06-11,7.770000,8.040000,7.770000,7.900000,6.562125,2655300
2018-06-12,7.920000,7.940000,7.850000,7.880000,6.545513,5606600
2018-06-13,7.860000,8.000000,7.780000,7.780000,6.462448,2240600
2018-06-14,7.780000,7.940000,7.780000,7.940000,6.595353,1320800
2018-06-18,7.820000,7.920000,7.800000,7.800000,6.479061,902600
2018-06-19,7.840000,7.900000,7.790000,7.840000,6.512287,933500
2018-06-20,7.800000,7.840000,7.760000,7.790000,6.470755,546200
2018-06-21,7.760000,7.760000,7.600000,7.630000,6.337851,557900
2018-06-22,7.620000,7.660000,7.500000,7.630000,6.337851,2561800
2018-06-25,7.680000,7.700000,7.620000,7.620000,6.329545,558000
2018-06-26,7.600000,7.600000,7.550000,7.550000,6.271399,2359200
2018-06-27,7.600000,7.650000,7.420000,7.430000,6.171721,651600
2018-06-28,7.390000,7.430000,7.320000,7.320000,6.080349,2671100
2018-06-29,7.340000,7.450000,7.320000,7.350000,6.105269,3127500
