Date,True Values,Predicted Values,Previous Actual Values,Sentiment
2020-01-09,6.06,6.140429,6.09,Negative
2020-01-10,6.11,6.1264796,6.15,Negative
2020-01-17,6.06,6.1110086,6.11,Negative
2020-01-23,6.01,6.0931826,6.05,Negative
2020-01-28,5.78,5.9995117,6.02,Negative
2020-02-03,5.45,5.5798273,,Negative
2020-02-10,5.79,5.8988495,5.45,Positive
2020-02-14,5.69,5.7613854,5.86,Positive
2020-02-18,5.63,5.7438745,5.72,Positive
2020-02-25,5.5,5.5665665,5.63,Neutral
2020-02-28,5.51,5.5838604,5.57,Positive
2020-03-02,5.47,5.564269,5.49,Negative
2020-03-03,5.44,5.6049824,5.5,Neutral
2020-03-06,5.41,5.5589314,5.51,Positive
2020-03-09,5.23,5.4638205,5.47,Positive
2020-03-10,5.25,5.3172975,5.44,Neutral
2020-03-13,5.28,5.311906,5.41,Positive
2020-03-16,4.9,5.152501,5.23,Negative
2020-03-17,4.82,4.798944,5.25,Neutral
2020-03-18,4.71,4.950542,5.29,Negative
2020-03-19,4.42,4.689888,5.28,Positive
2020-03-20,4.7,4.883843,5.28,Negative
2020-03-23,4.56,4.49939,4.9,Negative
2020-03-24,4.52,4.586537,4.82,Negative
2020-03-31,5.05,5.144869,4.52,Negative
2020-04-06,4.99,5.083096,5.0,Neutral
2020-04-07,5.04,5.1522346,5.05,Positive
2020-04-14,5.37,5.435539,5.04,Neutral
2020-04-20,5.73,5.9753523,5.28,Neutral
2020-04-21,5.73,5.825653,5.37,Negative
2020-04-27,5.75,5.865104,5.73,Positive
2020-04-28,5.77,5.8621836,5.73,Positive
2020-05-04,5.95,6.0154915,5.75,Negative
2020-05-05,5.96,6.039336,5.77,Positive
2020-05-12,5.97,6.041587,5.96,Positive
2020-05-13,5.99,6.0453515,5.95,Negative
2020-05-15,6.63,6.614996,5.98,Neutral
2020-05-18,7.5,7.0033245,,Negative
2020-05-22,7.8,7.7460556,6.63,Positive
2020-06-02,7.65,7.396386,,Neutral
2020-06-05,8.34,8.302747,7.65,Neutral
2020-06-09,8.37,8.310836,7.65,Neutral
2020-06-15,7.9,8.002684,,Positive
2020-06-16,8.0,7.9659853,8.37,Neutral
2020-06-18,7.43,7.7048364,8.33,Negative
2020-06-19,7.34,7.353374,8.19,Positive
2020-06-22,7.22,7.2671304,7.9,Negative
2020-06-23,7.2,7.2005243,8.0,Negative
2020-06-26,7.28,7.275694,7.34,Neutral
2020-06-29,7.28,7.232262,7.22,Neutral
2020-06-30,7.28,7.299354,7.2,Positive
2020-07-07,7.97,7.883128,7.28,Neutral
2020-07-13,8.4,8.359418,7.87,Neutral
2020-07-17,9.15,8.692691,8.35,Negative
2020-07-20,9.75,9.567925,8.4,Negative
2020-07-27,10.42,9.840716,9.75,Negative
2020-07-28,10.04,9.889619,9.9,Negative
2020-08-03,9.6,9.38444,10.42,Positive
2020-08-04,9.95,9.668305,10.04,Neutral
2020-08-10,10.34,9.880528,9.6,Negative
2020-08-11,10.2,9.87795,9.95,Neutral
2020-08-17,9.5,9.36794,10.34,Positive
2020-08-18,10.0,9.737674,10.2,Negative
2020-08-24,9.83,9.788275,9.5,Negative
2020-08-27,9.65,9.677213,,Positive
2020-08-28,9.69,9.637844,9.94,Positive
2020-09-01,9.6,9.630395,9.65,Negative
2020-09-02,9.58,9.581744,9.75,Negative
2020-09-03,9.55,9.572233,9.65,Negative
2020-09-07,9.34,9.357647,,Negative
2020-09-08,8.81,9.076329,9.6,Negative
2020-09-10,8.1,8.3358345,9.55,Negative
2020-09-14,8.6,8.777458,9.34,Negative
2020-09-15,8.66,8.574824,8.81,Negative
2020-09-17,8.6,8.526542,8.1,Positive
2020-09-18,8.7,8.548764,8.79,Negative
2020-09-21,8.59,8.5434675,8.6,Neutral
2020-09-22,8.49,8.397361,8.66,Neutral
2020-09-24,8.36,8.260614,8.6,Positive
2020-09-25,8.56,8.397843,8.7,Neutral
2020-09-28,8.56,8.500336,8.59,Positive
2020-09-29,8.59,8.50611,8.49,Positive
2020-10-05,8.5,8.338214,8.56,Neutral
2020-10-06,8.42,8.395096,8.59,Negative
2020-10-09,8.45,8.329722,8.36,Neutral
2020-10-12,8.37,8.33106,8.5,Positive
2020-10-13,8.36,8.283383,8.42,Negative
2020-10-16,8.9,8.780511,8.45,Negative
2020-10-19,8.93,8.824217,8.37,Negative
2020-10-23,8.8,8.812734,8.9,Positive
2020-10-26,8.48,8.635785,8.93,Negative
2020-10-27,8.52,8.487626,8.96,Neutral
2020-10-28,8.35,8.419635,8.85,Negative
2020-10-30,8.06,8.209462,8.8,Positive
2020-11-02,7.83,7.937691,8.48,Neutral
2020-11-03,8.03,7.9122257,8.52,Negative
2020-11-04,8.23,8.078038,8.35,Neutral
2020-11-09,8.51,8.403724,7.83,Negative
2020-11-11,8.7,8.548081,8.23,Positive
2020-11-23,8.55,8.466674,8.59,Neutral
2020-12-02,8.3,8.268773,8.31,Positive
2020-12-04,8.31,8.243785,8.42,Negative
2020-12-10,8.71,8.623834,8.31,Negative
2020-12-14,8.82,8.765444,8.7,Negative
2020-12-15,8.88,8.696737,8.7,Negative
2020-12-16,8.94,8.7625265,8.76,Negative
2020-12-17,8.91,8.804614,8.71,Negative
2020-12-22,8.58,8.564988,8.88,Neutral
2021-01-04,8.26,8.238317,8.37,Negative
2021-01-05,8.13,8.18252,8.4,Neutral
2021-01-08,8.23,8.1386175,,Neutral
2021-01-11,8.28,8.14236,8.26,Positive
2021-01-12,8.27,8.214028,8.13,Neutral
2021-01-13,8.33,8.281768,8.02,Negative
2021-01-18,8.51,8.430739,8.28,Negative
2021-01-19,8.6,8.446292,8.27,Negative
2021-01-22,8.73,8.588555,8.54,Negative
2021-01-25,8.73,8.577767,8.51,Negative
2021-02-02,9.35,9.265988,8.78,Neutral
2021-02-05,9.38,9.277134,9.37,Negative
2021-02-08,9.3,9.229603,,Positive
2021-02-09,9.28,9.150714,9.35,Negative
2021-02-15,9.25,9.1601715,9.3,Neutral
2021-02-22,8.92,8.792382,9.25,Negative
2021-02-23,9.0,8.819648,9.3,Positive
2021-02-24,9.13,8.920679,9.28,Negative
2021-02-26,9.1,8.954574,8.95,Negative
2021-03-01,9.07,8.92637,8.92,Neutral
2021-03-02,9.09,8.923576,9.0,Positive
2021-03-05,9.07,8.956435,9.1,Neutral
2021-03-08,9.05,8.928895,9.07,Neutral
2021-03-09,9.06,8.882522,9.09,Negative
2021-03-15,9.09,8.920185,9.05,Neutral
2021-03-16,9.08,8.951177,9.06,Neutral
2021-03-17,9.19,8.981294,9.03,Negative
2021-03-18,9.24,9.1641,9.01,Negative
2021-03-24,8.93,8.928275,9.19,Neutral
2021-03-25,8.85,8.832958,9.24,Negative
2021-03-29,9.0,8.852644,9.28,Negative
2021-03-30,9.04,8.891063,9.1,Negative
2021-04-05,8.85,8.754281,9.0,Neutral
2021-04-06,8.81,8.719264,9.04,Negative
2021-04-08,8.8,8.720317,8.9,Negative
2021-04-19,8.42,8.414608,8.83,Negative
2021-04-20,8.43,8.348772,8.77,Neutral
2021-04-26,8.4,8.346986,8.42,Neutral
2021-04-27,8.49,8.360068,8.43,Neutral
2021-05-04,8.52,8.378776,8.49,Negative
2021-05-05,8.51,8.43076,8.5,Positive
2021-05-10,8.45,8.373178,8.45,Positive
2021-05-11,8.32,8.313447,8.52,Positive
2021-05-12,8.2,8.192733,8.51,Negative
2021-05-18,8.18,8.151105,8.32,Negative
2021-05-24,8.11,8.035231,8.26,Positive
2021-05-28,8.17,8.132705,8.08,Positive
2021-05-31,8.17,8.081012,8.11,Negative
2021-06-02,8.2,8.103313,,Negative
2021-06-04,8.19,8.139299,8.17,Positive
2021-06-08,8.17,8.113863,8.11,Negative
2021-06-11,8.09,8.040013,8.19,Negative
2021-06-18,8.05,7.9866195,8.09,Neutral
2021-06-21,8.05,8.004646,8.09,Negative
2021-06-28,7.96,7.944742,8.05,Positive
2021-07-01,7.9,7.8741374,8.01,Negative
2021-07-09,7.65,7.6286335,7.88,Neutral
2021-07-12,7.66,7.615408,7.86,Positive
2021-07-15,7.64,7.5939713,7.68,Negative
2021-07-19,7.63,7.5781174,7.66,Positive
2021-07-21,7.61,7.5734544,7.64,Positive
2021-07-22,7.61,7.5508137,7.64,Positive
2021-07-26,7.58,7.5571637,7.63,Positive
2021-07-27,7.53,7.513174,,Neutral
2021-08-02,7.68,7.604776,7.58,Neutral
2021-08-04,7.61,7.573986,7.6,Negative
2021-08-06,7.58,7.5339737,7.61,Neutral
2021-08-09,7.57,7.5428,7.68,Neutral
2021-08-12,7.61,7.571046,7.59,Negative
2021-08-17,7.35,7.3730755,,Negative
2021-08-20,7.34,7.290747,7.64,Negative
2021-08-23,7.33,7.2889423,7.66,Neutral
2021-08-24,7.43,7.3653135,7.35,Neutral
2021-08-26,7.52,7.442975,7.34,Negative
2021-08-30,7.52,7.481345,7.33,Negative
2021-09-03,7.71,7.629099,7.51,Neutral
2021-09-06,7.63,7.6755776,7.52,Negative
2021-09-07,7.65,7.6132627,,Neutral
2021-09-10,7.55,7.5176954,7.71,Positive
2021-09-15,7.52,7.4563637,7.57,Negative
2021-09-17,7.42,7.437761,7.55,Negative
2021-09-20,7.36,7.3585434,7.57,Positive
2021-09-21,7.34,7.3098307,7.5,Negative
2021-09-22,7.33,7.304946,7.52,Negative
2021-09-24,7.38,7.3269434,7.42,Negative
2021-09-28,7.4,7.3660183,7.34,Neutral
2021-09-29,7.36,7.3340397,7.33,Negative
2021-10-01,7.34,7.3219485,7.38,Negative
2021-10-06,7.34,7.3131456,7.36,Negative
2021-10-11,7.43,7.382961,7.34,Negative
2021-10-12,7.79,7.5498867,7.33,Negative
2021-10-13,7.77,7.7279196,7.34,Negative
2021-10-15,7.8,7.759088,7.37,Neutral
2021-10-18,7.78,7.7389474,7.43,Negative
2021-10-20,7.75,7.7240486,7.77,Negative
2021-10-25,7.63,7.5643845,7.78,Negative
2021-10-28,7.54,7.536334,7.6,Negative
2021-10-29,7.51,7.506013,7.6,Positive
2021-11-01,7.09,7.2698364,7.63,Negative
2021-11-02,6.97,7.0119314,7.53,Neutral
2021-11-03,6.98,6.9459953,7.6,Neutral
2021-11-09,6.82,6.8484187,6.97,Negative
2021-11-10,6.79,6.806165,6.98,Negative
2021-11-11,6.79,6.764262,,Negative
2021-11-12,6.82,6.7805347,6.83,Neutral
2021-11-18,6.62,6.6880183,6.79,Negative
2021-11-19,6.58,6.600066,6.82,Neutral
2021-11-22,6.6,6.602483,6.82,Negative
2021-11-23,6.42,6.5662656,6.8,Negative
2021-11-24,6.42,6.4305334,6.73,Negative
2021-11-29,6.41,6.440701,6.6,Negative
2021-11-30,6.45,6.465577,6.42,Positive
2021-12-01,6.38,6.453574,6.42,Negative
2021-12-06,6.42,6.42805,6.41,Positive
