Date,True Values,Predicted Values,Previous Actual Values,Sentiment
2018-01-02,6.746666,6.752023,,
2018-01-03,6.933333,6.79834,,
2018-01-04,7.013333,6.932973,,
2018-01-05,7.093333,7.0295234,,
2018-01-08,7.173333,7.101923,,
2018-01-09,7.106666,7.147789,6.746666,
2018-01-10,7.16,7.108778,6.933333,
2018-01-11,7.066666,7.0880594,7.013333,
2018-01-12,7.066666,7.0178576,7.093333,
2018-01-15,7.066666,7.055268,7.173333,
2018-01-16,7.066666,7.034687,7.106666,
2018-01-17,7.04,7.0287986,7.16,
2018-01-18,7.093333,7.049072,7.066666,
2018-01-19,7.066666,7.0378895,7.066666,
2018-01-22,7.106666,7.0454016,7.066666,
2018-01-23,7.173333,7.1333995,7.066666,
2018-01-24,7.173333,7.123163,7.04,
2018-01-25,7.133333,7.124466,7.093333,
2018-01-26,7.066666,7.0838156,7.066666,
2018-01-29,7.253333,7.1300626,7.106666,
2018-01-30,7.266666,7.2226305,7.173333,
2018-02-02,7.253333,7.239298,7.066666,
2018-02-05,7.253333,7.1238246,7.253333,
2018-02-06,7.173333,7.1379333,7.266666,
2018-02-07,7.253333,7.249712,,
2018-02-08,7.28,7.245864,,
2018-02-09,7.213333,7.1727533,7.253333,
2018-02-12,7.24,7.24666,7.253333,
2018-02-13,7.32,7.2642617,7.173333,
2018-02-14,7.306666,7.2775326,7.253333,
2018-02-15,7.333333,7.2740326,7.28,
2018-02-16,7.333333,7.127741,7.213333,
2018-02-19,7.226666,7.2306747,7.24,
2018-02-20,7.2,7.194457,7.32,
2018-02-21,7.2,7.155425,7.306666,
2018-02-22,7.253333,7.1702337,7.333333,
2018-02-23,7.333333,7.240486,7.333333,
2018-02-26,7.44,7.362418,7.226666,
2018-02-27,7.533333,7.476595,7.2,
2018-02-28,7.533333,7.4811025,7.2,
2018-03-01,7.4,7.4471865,7.253333,
2018-03-02,7.466666,7.3659825,7.333333,
2018-03-05,7.24,7.322505,7.44,
2018-03-06,7.4,7.247567,7.533333,
2018-03-07,7.426666,7.2792587,7.533333,
2018-03-08,7.426666,7.3740396,7.4,
2018-03-09,7.413333,7.378413,7.466666,
2018-03-12,7.466666,7.419625,7.24,
2018-03-13,7.533333,7.4515452,7.4,
2018-03-14,7.586666,7.500106,7.426666,
2018-03-15,7.533333,7.5018964,7.426666,
2018-03-16,7.4,7.439362,7.413333,
2018-03-19,7.386666,7.3496265,7.466666,
2018-03-20,7.346666,7.29521,7.533333,
2018-03-21,7.346666,7.2992196,7.586666,
2018-03-22,7.32,7.285889,7.533333,
2018-03-23,7.306666,7.267281,7.4,
2018-03-26,7.12,7.197987,7.386666,
2018-03-27,7.2,7.1576056,7.346666,
2018-03-28,7.24,7.199691,7.346666,
2018-03-29,7.306666,7.234335,7.32,
2018-03-30,7.266666,7.23606,7.306666,
2018-04-02,7.28,7.2722654,7.12,
2018-04-03,7.24,7.245433,7.2,
2018-04-04,7.186666,7.181939,7.24,
2018-04-05,7.12,7.129236,7.306666,
2018-04-06,7.066666,7.049503,7.266666,
2018-04-09,6.986666,7.0165815,7.28,
2018-04-10,7.24,7.0556993,7.24,
2018-04-11,7.29,7.2917414,7.186666,
2018-04-12,7.27,7.2359185,7.12,
2018-04-13,7.27,7.2375817,7.066666,
2018-04-16,7.25,7.2079744,6.986666,
2018-04-17,7.45,7.3241525,7.24,
2018-04-18,7.45,7.4226675,7.29,
2018-04-19,7.58,7.439878,7.27,
2018-04-20,7.5,7.4992495,7.27,
2018-04-23,7.36,7.4203725,7.25,
2018-04-24,7.24,7.27886,7.45,
2018-04-25,7.21,7.183303,7.45,
2018-04-26,7.26,7.202355,7.58,
2018-04-27,7.26,7.2573276,7.5,
2018-04-30,7.22,7.2132654,7.36,
2018-05-02,7.2,7.174056,7.21,
2018-05-03,7.21,7.178569,7.26,
2018-05-04,7.16,7.1472807,7.26,
2018-05-07,7.14,7.0928307,7.22,
2018-05-08,7.28,7.1584396,,
2018-05-14,8.19,7.6317215,7.14,
2018-05-15,8.07,8.059465,7.28,
2018-05-16,8.0,7.9949064,,
2018-05-17,8.01,7.9651146,,
2018-05-18,8.07,7.9936485,,
2018-05-21,8.03,8.008803,8.19,
2018-05-22,7.99,7.9523478,8.07,
2018-05-23,7.71,7.8546524,8.0,
2018-05-24,7.58,7.6210823,8.01,
2018-05-25,7.84,7.6172047,8.07,
2018-05-28,7.68,7.72941,8.03,
2018-05-30,7.68,7.4225054,7.71,
2018-05-31,7.5,7.2675533,7.58,
2018-06-01,7.92,7.6588497,7.84,
2018-06-04,7.88,7.874753,7.68,
2018-06-05,7.89,7.831071,,
2018-06-06,7.89,7.859314,7.68,
2018-06-07,7.87,7.841485,7.5,
2018-06-08,7.9,7.874353,7.92,
2018-06-11,7.9,7.8186398,7.88,
2018-06-12,7.88,7.853494,7.89,
2018-06-13,7.78,7.8341856,7.89,
2018-06-14,7.94,7.790411,7.87,
2018-06-18,7.8,7.7945924,7.9,
2018-06-19,7.84,7.7956295,7.88,
2018-06-20,7.79,7.750368,7.78,
2018-06-21,7.63,7.6689453,7.94,
2018-06-22,7.63,7.558664,,
2018-06-25,7.62,7.6179323,7.8,
2018-06-26,7.55,7.5329514,7.84,
2018-06-27,7.43,7.522593,7.79,
2018-06-28,7.32,7.3339615,7.63,
2018-06-29,7.35,7.32263,7.63,
2018-07-02,7.37,7.3183722,7.62,
2018-07-03,7.56,7.382989,7.55,
2018-07-04,7.5,7.450614,7.43,
2018-07-05,7.54,7.46481,7.32,
2018-07-06,7.5,7.459378,7.35,
2018-07-09,7.6,7.4795094,7.37,
2018-07-10,7.66,7.592252,7.56,
2018-07-11,7.62,7.6224594,7.5,
2018-07-12,7.73,7.639964,7.54,
2018-07-13,7.79,7.702482,7.5,
2018-07-16,7.79,7.7282777,7.6,
2018-07-17,7.76,7.724906,7.66,
2018-07-18,7.78,7.72553,7.62,
2018-07-19,7.85,7.783734,7.73,
2018-07-20,7.8,7.8168015,7.79,
2018-07-23,7.85,7.7823167,7.79,
2018-07-24,7.87,7.8275247,7.76,
2018-07-25,7.86,7.8205404,7.78,
2018-07-26,7.85,7.8150954,7.85,
2018-07-27,7.81,7.7631125,7.8,
2018-07-30,7.79,7.758096,7.85,
2018-07-31,7.82,7.7597275,7.87,
2018-08-01,7.79,7.767068,7.86,
2018-08-02,7.78,7.754071,7.85,
2018-08-03,7.82,7.7518644,7.81,
2018-08-06,7.82,7.7782774,7.79,
2018-08-07,7.83,7.7979684,7.82,
2018-08-08,7.83,7.794544,7.79,
2018-08-09,7.85,7.799533,7.78,
2018-08-10,7.82,7.8188834,7.82,
2018-08-13,7.87,7.8105645,7.82,
2018-08-14,7.7,7.6455617,7.83,
2018-08-15,7.69,7.6492004,7.83,
2018-08-16,7.61,7.612687,7.85,
2018-08-17,7.64,7.59416,7.82,
2018-08-20,7.65,7.590158,7.87,
2018-08-21,7.6,7.628405,7.7,
2018-08-23,7.66,7.601329,7.61,
2018-08-24,7.66,7.640666,7.64,
2018-08-27,7.65,7.6002717,7.65,
2018-08-28,7.7,7.633865,7.6,
2018-08-29,7.7,7.6482306,,
2018-08-30,7.68,7.6726675,7.66,
2018-09-03,7.74,7.664279,7.65,
2018-09-04,7.73,7.6801233,7.7,
2018-09-05,7.7,7.6542997,7.7,
2018-09-06,7.7,7.632139,7.68,
2018-09-07,7.7,7.646309,,
2018-09-12,7.6,7.603993,7.7,
2018-09-13,7.55,7.559394,7.7,
2018-09-14,7.6,7.555355,7.7,
2018-09-18,7.59,7.5562572,,
2018-09-19,7.61,7.5719037,7.6,
2018-09-20,7.75,7.6432686,7.55,
2018-09-21,7.83,7.7128577,7.6,
2018-09-24,7.71,7.7327595,,
2018-09-25,7.71,7.6788864,7.59,
2018-09-26,7.72,7.6676393,7.61,
2018-09-27,7.78,7.7138114,7.75,
2018-09-28,7.82,7.7501183,7.83,
2018-10-01,7.84,7.771405,7.71,
2018-10-02,7.69,7.752142,7.71,
2018-10-03,7.7,7.644064,7.72,
2018-10-04,7.7,7.64806,7.78,
2018-10-05,7.72,7.6524887,7.82,
2018-10-08,7.7,7.658908,7.84,
2018-10-09,7.7,7.6785088,7.69,
2018-10-10,7.71,7.6613646,7.7,
2018-10-11,7.64,7.5454855,7.7,
2018-10-12,7.66,7.5308943,7.72,
2018-10-15,7.69,7.633176,7.7,
2018-10-16,7.68,7.6153717,7.7,
2018-10-17,7.7,7.63113,7.71,
2018-10-18,7.71,7.6363463,7.64,
2018-10-19,7.8,7.6832743,7.66,
2018-10-22,7.65,7.6939583,7.69,
2018-10-23,7.61,7.5731235,7.68,
2018-10-24,7.74,7.594765,7.7,
2018-10-25,7.65,7.571289,7.71,
2018-10-26,7.65,7.5913854,7.8,
2018-10-29,7.55,7.5182567,7.65,
2018-10-30,7.35,7.3713765,7.61,
2018-10-31,7.32,7.296748,7.74,
2018-11-01,7.32,7.274976,7.65,
2018-11-02,7.4,7.2952423,7.65,
2018-11-05,7.32,7.283632,7.55,
2018-11-07,7.46,7.322008,7.32,
2018-11-08,7.38,7.367631,7.32,
2018-11-09,7.4,7.3395376,7.4,
2018-11-12,7.2,7.236247,7.32,
2018-11-13,7.2,7.145115,,
2018-11-14,7.21,7.157688,7.46,
2018-11-15,7.2,7.146564,7.38,
2018-11-16,7.26,7.191368,7.4,
2018-11-19,7.25,7.2148304,7.2,
2018-11-21,7.18,7.177003,7.21,
2018-11-22,7.18,7.144667,7.2,
2018-11-23,7.18,7.1381865,7.26,
2018-11-26,7.14,7.132294,7.25,
2018-11-27,7.03,7.064139,,
2018-11-28,7.07,7.0610757,7.18,
2018-11-29,7.0,7.0237026,7.18,
2018-11-30,6.99,6.9749107,7.18,
2018-12-03,7.08,6.999097,7.14,
2018-12-04,7.0,7.0260925,7.03,
2018-12-05,7.16,7.0437055,7.07,
2018-12-06,7.01,7.069155,7.0,
2018-12-07,7.08,7.042128,6.99,
2018-12-10,7.0,7.0135183,7.08,
2018-12-11,6.99,6.951453,7.0,
2018-12-12,7.1,6.980804,7.16,
2018-12-13,7.01,6.9868727,7.01,
2018-12-14,7.01,6.9663363,7.08,
2018-12-17,6.94,6.9585223,7.0,
2018-12-18,6.85,6.8632708,6.99,
2018-12-19,6.82,6.8229837,7.1,
2018-12-20,6.73,6.763978,7.01,
2018-12-21,6.77,6.729529,7.01,
2018-12-24,6.78,6.761034,6.94,
2018-12-26,6.78,6.750289,6.82,
2018-12-27,6.8,6.7821927,6.73,
2018-12-28,6.75,6.7724953,6.77,
2018-12-31,6.84,6.795934,6.78,
2019-01-02,6.88,6.828848,6.78,
2019-01-03,6.88,6.9085636,6.8,
2019-01-04,7.0,6.923721,6.75,
2019-01-07,7.1,7.049322,6.84,
2019-01-08,7.28,7.1842604,,
2019-01-09,7.32,7.255828,6.88,
2019-01-10,7.26,7.2690287,6.88,
2019-01-11,7.35,7.256969,7.0,
2019-01-14,7.39,7.2970653,7.1,
2019-01-15,7.32,7.317876,7.28,
2019-01-16,7.28,7.267705,7.32,
2019-01-17,7.29,7.300268,7.26,
2019-01-18,7.39,7.3068476,7.35,
2019-01-22,7.41,7.3543825,7.32,
2019-01-23,7.35,7.3335457,7.28,
2019-01-24,7.33,7.3016334,7.29,
2019-01-25,7.32,7.2994556,7.39,
2019-01-28,7.4,7.2908654,,
2019-01-29,7.39,7.3502464,7.41,
2019-01-30,7.33,7.288457,7.35,
2019-01-31,7.3,7.2676735,7.33,
2019-02-04,7.3,7.253303,7.4,
2019-02-07,7.32,7.3252945,7.3,
2019-02-08,7.3,7.2927914,,
2019-02-11,7.25,7.2531962,7.3,
2019-02-12,7.25,7.2345867,,
2019-02-13,7.23,7.19114,,
2019-02-14,7.27,7.2469187,7.32,
2019-02-15,7.09,7.163113,7.3,
2019-02-18,7.02,7.05341,7.25,
2019-02-19,7.18,7.0560412,7.25,
2019-02-20,7.23,7.1710777,7.23,
2019-02-21,7.18,7.160646,7.27,
2019-02-22,7.18,7.1783543,7.09,
2019-02-25,7.19,7.157454,7.02,
2019-02-26,7.17,7.1325474,7.18,
2019-02-27,7.17,7.10693,7.23,
2019-02-28,7.1,7.100169,7.18,
2019-03-01,7.09,7.04497,7.18,
2019-03-04,7.02,7.039976,7.19,
2019-03-05,7.05,7.00686,7.17,
2019-03-06,7.06,7.032997,7.17,
2019-03-07,6.98,7.012665,7.1,
2019-03-08,7.03,6.991849,7.09,
2019-03-11,6.98,6.975344,7.02,
2019-03-12,6.9,6.945709,7.05,
2019-03-13,6.87,6.8799415,7.06,
2019-03-14,6.85,6.8561554,6.98,
2019-03-15,7.0,6.889543,7.03,
2019-03-18,6.99,6.967884,6.98,
2019-03-19,6.87,6.9316506,6.9,
2019-03-20,6.9,6.858142,6.87,
2019-03-21,6.89,6.876378,6.85,
2019-03-22,6.9,6.8680787,7.0,
2019-03-25,6.83,6.8502984,6.99,
2019-03-26,6.81,6.8538866,6.87,
2019-03-27,6.93,6.8353434,6.9,
2019-03-28,6.86,6.8691783,6.89,
2019-03-29,6.87,6.865208,6.9,
2019-04-01,6.9,6.8581314,6.83,
2019-04-02,6.9,6.8590364,6.81,
2019-04-03,6.88,6.8597403,6.93,
2019-04-04,6.83,6.852717,6.86,
2019-04-05,6.85,6.824229,6.87,
2019-04-08,6.88,6.834236,6.9,
2019-04-09,6.88,6.8424983,6.9,
2019-04-10,6.87,6.8318872,6.88,
2019-04-11,6.85,6.8354607,6.83,
2019-04-12,6.85,6.83202,6.85,
2019-04-15,6.89,6.8361225,6.88,
2019-04-16,6.85,6.8471775,6.88,
2019-04-17,6.8,6.8080206,6.87,
2019-04-18,6.81,6.772323,6.85,
2019-04-19,6.85,6.7977943,6.85,
2019-04-22,6.9,6.8488226,6.89,
2019-04-23,6.95,6.8922215,6.85,
2019-04-24,6.93,6.9151216,6.8,
2019-04-25,6.92,6.889937,6.81,
2019-04-26,6.93,6.925371,6.85,
2019-04-29,6.9,6.890477,6.9,
2019-04-30,6.75,6.8353467,6.95,
2019-05-02,6.63,6.704814,6.92,
