Date,True Values,Predicted Values
2018-01-02,6.746666,6.752023
2018-01-03,6.933333,6.79834
2018-01-04,7.013333,6.932973
2018-01-05,7.093333,7.0295234
2018-01-08,7.173333,7.101923
2018-01-09,7.106666,7.147789
2018-01-10,7.16,7.108778
2018-01-11,7.066666,7.0880594
2018-01-12,7.066666,7.0178576
2018-01-15,7.066666,7.055268
2018-01-16,7.066666,7.034687
2018-01-17,7.04,7.0287986
2018-01-18,7.093333,7.049072
2018-01-19,7.066666,7.0378895
2018-01-22,7.106666,7.0454016
2018-01-23,7.173333,7.1333995
2018-01-24,7.173333,7.123163
2018-01-25,7.133333,7.124466
2018-01-26,7.066666,7.0838156
2018-01-29,7.253333,7.1300626
2018-01-30,7.266666,7.2226305
2018-02-02,7.253333,7.239298
2018-02-05,7.253333,7.1238246
2018-02-06,7.173333,7.1379333
2018-02-07,7.253333,7.249712
2018-02-08,7.28,7.245864
2018-02-09,7.213333,7.1727533
2018-02-12,7.24,7.24666
2018-02-13,7.32,7.2642617
2018-02-14,7.306666,7.2775326
2018-02-15,7.333333,7.2740326
2018-02-16,7.333333,7.127741
2018-02-19,7.226666,7.2306747
2018-02-20,7.2,7.194457
2018-02-21,7.2,7.155425
2018-02-22,7.253333,7.1702337
2018-02-23,7.333333,7.240486
2018-02-26,7.44,7.362418
2018-02-27,7.533333,7.476595
2018-02-28,7.533333,7.4811025
2018-03-01,7.4,7.4471865
2018-03-02,7.466666,7.3659825
2018-03-05,7.24,7.322505
2018-03-06,7.4,7.247567
2018-03-07,7.426666,7.2792587
2018-03-08,7.426666,7.3740396
2018-03-09,7.413333,7.378413
2018-03-12,7.466666,7.419625
2018-03-13,7.533333,7.4515452
2018-03-14,7.586666,7.500106
2018-03-15,7.533333,7.5018964
2018-03-16,7.4,7.439362
2018-03-19,7.386666,7.3496265
2018-03-20,7.346666,7.29521
2018-03-21,7.346666,7.2992196
2018-03-22,7.32,7.285889
2018-03-23,7.306666,7.267281
2018-03-26,7.12,7.197987
2018-03-27,7.2,7.1576056
2018-03-28,7.24,7.199691
2018-03-29,7.306666,7.234335
2018-03-30,7.266666,7.23606
2018-04-02,7.28,7.2722654
2018-04-03,7.24,7.245433
2018-04-04,7.186666,7.181939
2018-04-05,7.12,7.129236
2018-04-06,7.066666,7.049503
2018-04-09,6.986666,7.0165815
2018-04-10,7.24,7.0556993
2018-04-11,7.29,7.2917414
2018-04-12,7.27,7.2359185
2018-04-13,7.27,7.2375817
2018-04-16,7.25,7.2079744
2018-04-17,7.45,7.3241525
2018-04-18,7.45,7.4226675
2018-04-19,7.58,7.439878
2018-04-20,7.5,7.4992495
2018-04-23,7.36,7.4203725
2018-04-24,7.24,7.27886
2018-04-25,7.21,7.183303
2018-04-26,7.26,7.202355
2018-04-27,7.26,7.2573276
2018-04-30,7.22,7.2132654
2018-05-02,7.2,7.174056
2018-05-03,7.21,7.178569
2018-05-04,7.16,7.1472807
2018-05-07,7.14,7.0928307
2018-05-08,7.28,7.1584396
2018-05-14,8.19,7.6317215
2018-05-15,8.07,8.059465
2018-05-16,8.0,7.9949064
2018-05-17,8.01,7.9651146
2018-05-18,8.07,7.9936485
2018-05-21,8.03,8.008803
2018-05-22,7.99,7.9523478
2018-05-23,7.71,7.8546524
2018-05-24,7.58,7.6210823
2018-05-25,7.84,7.6172047
2018-05-28,7.68,7.72941
2018-05-30,7.68,7.4225054
2018-05-31,7.5,7.2675533
2018-06-01,7.92,7.6588497
2018-06-04,7.88,7.874753
2018-06-05,7.89,7.831071
2018-06-06,7.89,7.859314
2018-06-07,7.87,7.841485
2018-06-08,7.9,7.874353
2018-06-11,7.9,7.8186398
2018-06-12,7.88,7.853494
2018-06-13,7.78,7.8341856
2018-06-14,7.94,7.790411
2018-06-18,7.8,7.7945924
2018-06-19,7.84,7.7956295
2018-06-20,7.79,7.750368
2018-06-21,7.63,7.6689453
2018-06-22,7.63,7.558664
2018-06-25,7.62,7.6179323
2018-06-26,7.55,7.5329514
2018-06-27,7.43,7.522593
2018-06-28,7.32,7.3339615
2018-06-29,7.35,7.32263
2018-07-02,7.37,7.3183722
2018-07-03,7.56,7.382989
2018-07-04,7.5,7.450614
2018-07-05,7.54,7.46481
2018-07-06,7.5,7.459378
2018-07-09,7.6,7.4795094
2018-07-10,7.66,7.592252
2018-07-11,7.62,7.6224594
2018-07-12,7.73,7.639964
2018-07-13,7.79,7.702482
2018-07-16,7.79,7.7282777
2018-07-17,7.76,7.724906
2018-07-18,7.78,7.72553
2018-07-19,7.85,7.783734
2018-07-20,7.8,7.8168015
2018-07-23,7.85,7.7823167
2018-07-24,7.87,7.8275247
2018-07-25,7.86,7.8205404
2018-07-26,7.85,7.8150954
2018-07-27,7.81,7.7631125
2018-07-30,7.79,7.758096
2018-07-31,7.82,7.7597275
2018-08-01,7.79,7.767068
2018-08-02,7.78,7.754071
2018-08-03,7.82,7.7518644
2018-08-06,7.82,7.7782774
2018-08-07,7.83,7.7979684
2018-08-08,7.83,7.794544
2018-08-09,7.85,7.799533
2018-08-10,7.82,7.8188834
2018-08-13,7.87,7.8105645
2018-08-14,7.7,7.6455617
2018-08-15,7.69,7.6492004
2018-08-16,7.61,7.612687
2018-08-17,7.64,7.59416
2018-08-20,7.65,7.590158
2018-08-21,7.6,7.628405
2018-08-23,7.66,7.601329
2018-08-24,7.66,7.640666
2018-08-27,7.65,7.6002717
2018-08-28,7.7,7.633865
2018-08-29,7.7,7.6482306
2018-08-30,7.68,7.6726675
2018-09-03,7.74,7.664279
2018-09-04,7.73,7.6801233
2018-09-05,7.7,7.6542997
2018-09-06,7.7,7.632139
2018-09-07,7.7,7.646309
2018-09-12,7.6,7.603993
2018-09-13,7.55,7.559394
2018-09-14,7.6,7.555355
2018-09-18,7.59,7.5562572
2018-09-19,7.61,7.5719037
2018-09-20,7.75,7.6432686
2018-09-21,7.83,7.7128577
2018-09-24,7.71,7.7327595
2018-09-25,7.71,7.6788864
2018-09-26,7.72,7.6676393
2018-09-27,7.78,7.7138114
2018-09-28,7.82,7.7501183
2018-10-01,7.84,7.771405
2018-10-02,7.69,7.752142
2018-10-03,7.7,7.644064
2018-10-04,7.7,7.64806
2018-10-05,7.72,7.6524887
2018-10-08,7.7,7.658908
2018-10-09,7.7,7.6785088
2018-10-10,7.71,7.6613646
2018-10-11,7.64,7.5454855
2018-10-12,7.66,7.5308943
2018-10-15,7.69,7.633176
2018-10-16,7.68,7.6153717
2018-10-17,7.7,7.63113
2018-10-18,7.71,7.6363463
2018-10-19,7.8,7.6832743
2018-10-22,7.65,7.6939583
2018-10-23,7.61,7.5731235
2018-10-24,7.74,7.594765
2018-10-25,7.65,7.571289
2018-10-26,7.65,7.5913854
2018-10-29,7.55,7.5182567
2018-10-30,7.35,7.3713765
2018-10-31,7.32,7.296748
2018-11-01,7.32,7.274976
2018-11-02,7.4,7.2952423
2018-11-05,7.32,7.283632
2018-11-07,7.46,7.322008
2018-11-08,7.38,7.367631
2018-11-09,7.4,7.3395376
2018-11-12,7.2,7.236247
2018-11-13,7.2,7.145115
2018-11-14,7.21,7.157688
2018-11-15,7.2,7.146564
2018-11-16,7.26,7.191368
2018-11-19,7.25,7.2148304
2018-11-21,7.18,7.177003
2018-11-22,7.18,7.144667
2018-11-23,7.18,7.1381865
2018-11-26,7.14,7.132294
2018-11-27,7.03,7.064139
2018-11-28,7.07,7.0610757
2018-11-29,7.0,7.0237026
2018-11-30,6.99,6.9749107
2018-12-03,7.08,6.999097
2018-12-04,7.0,7.0260925
2018-12-05,7.16,7.0437055
2018-12-06,7.01,7.069155
2018-12-07,7.08,7.042128
2018-12-10,7.0,7.0135183
2018-12-11,6.99,6.951453
2018-12-12,7.1,6.980804
2018-12-13,7.01,6.9868727
2018-12-14,7.01,6.9663363
2018-12-17,6.94,6.9585223
2018-12-18,6.85,6.8632708
2018-12-19,6.82,6.8229837
2018-12-20,6.73,6.763978
2018-12-21,6.77,6.729529
2018-12-24,6.78,6.761034
2018-12-26,6.78,6.750289
2018-12-27,6.8,6.7821927
2018-12-28,6.75,6.7724953
2018-12-31,6.84,6.795934
2019-01-02,6.88,6.828848
2019-01-03,6.88,6.9085636
2019-01-04,7.0,6.923721
2019-01-07,7.1,7.049322
2019-01-08,7.28,7.1842604
2019-01-09,7.32,7.255828
2019-01-10,7.26,7.2690287
2019-01-11,7.35,7.256969
2019-01-14,7.39,7.2970653
2019-01-15,7.32,7.317876
2019-01-16,7.28,7.267705
2019-01-17,7.29,7.300268
2019-01-18,7.39,7.3068476
2019-01-22,7.41,7.3543825
2019-01-23,7.35,7.3335457
2019-01-24,7.33,7.3016334
2019-01-25,7.32,7.2994556
2019-01-28,7.4,7.2908654
2019-01-29,7.39,7.3502464
2019-01-30,7.33,7.288457
2019-01-31,7.3,7.2676735
2019-02-04,7.3,7.253303
2019-02-07,7.32,7.3252945
2019-02-08,7.3,7.2927914
2019-02-11,7.25,7.2531962
2019-02-12,7.25,7.2345867
2019-02-13,7.23,7.19114
2019-02-14,7.27,7.2469187
2019-02-15,7.09,7.163113
2019-02-18,7.02,7.05341
2019-02-19,7.18,7.0560412
2019-02-20,7.23,7.1710777
2019-02-21,7.18,7.160646
2019-02-22,7.18,7.1783543
2019-02-25,7.19,7.157454
2019-02-26,7.17,7.1325474
2019-02-27,7.17,7.10693
2019-02-28,7.1,7.100169
2019-03-01,7.09,7.04497
2019-03-04,7.02,7.039976
2019-03-05,7.05,7.00686
2019-03-06,7.06,7.032997
2019-03-07,6.98,7.012665
2019-03-08,7.03,6.991849
2019-03-11,6.98,6.975344
2019-03-12,6.9,6.945709
2019-03-13,6.87,6.8799415
2019-03-14,6.85,6.8561554
2019-03-15,7.0,6.889543
2019-03-18,6.99,6.967884
2019-03-19,6.87,6.9316506
2019-03-20,6.9,6.858142
2019-03-21,6.89,6.876378
2019-03-22,6.9,6.8680787
2019-03-25,6.83,6.8502984
2019-03-26,6.81,6.8538866
2019-03-27,6.93,6.8353434
2019-03-28,6.86,6.8691783
2019-03-29,6.87,6.865208
2019-04-01,6.9,6.8581314
2019-04-02,6.9,6.8590364
2019-04-03,6.88,6.8597403
2019-04-04,6.83,6.852717
2019-04-05,6.85,6.824229
2019-04-08,6.88,6.834236
2019-04-09,6.88,6.8424983
2019-04-10,6.87,6.8318872
2019-04-11,6.85,6.8354607
2019-04-12,6.85,6.83202
2019-04-15,6.89,6.8361225
2019-04-16,6.85,6.8471775
2019-04-17,6.8,6.8080206
2019-04-18,6.81,6.772323
2019-04-19,6.85,6.7977943
2019-04-22,6.9,6.8488226
2019-04-23,6.95,6.8922215
2019-04-24,6.93,6.9151216
2019-04-25,6.92,6.889937
2019-04-26,6.93,6.925371
2019-04-29,6.9,6.890477
2019-04-30,6.75,6.8353467
2019-05-02,6.63,6.704814
2019-05-03,6.64,6.6364756
2019-05-06,6.5,6.596563
2019-05-07,6.45,6.509302
2019-05-08,6.33,6.425556
2019-05-09,6.36,6.3742228
2019-05-10,6.2,6.379614
2019-05-13,6.18,6.2414126
2019-05-14,6.14,6.1953554
2019-05-15,6.13,6.2063484
2019-05-16,6.12,6.1813765
2019-05-17,6.17,6.20405
2019-05-21,6.14,6.222538
2019-05-23,6.09,6.1681848
2019-05-24,6.08,6.1357226
2019-05-27,6.1,6.1542406
2019-05-28,5.92,6.117507
2019-05-29,5.96,6.049984
2019-05-30,6.04,6.068939
2019-05-31,6.5,6.3248243
2019-06-03,6.49,6.4058604
2019-06-04,6.38,6.4769807
2019-06-05,6.38,6.3556767
2019-06-06,6.38,6.3556767
2019-06-07,6.45,6.448734
2019-06-10,6.46,6.467539
2019-06-11,6.5,6.479986
2019-06-12,6.49,6.495365
2019-06-13,6.41,6.4702497
2019-06-14,6.45,6.4456105
2019-06-17,6.44,6.4635735
2019-06-18,6.38,6.4377823
2019-06-19,6.38,6.444992
2019-06-20,6.42,6.4294386
2019-06-21,6.43,6.4527593
2019-06-24,6.7,6.555353
2019-06-25,6.67,6.6819
2019-06-26,6.77,6.685091
2019-06-27,6.96,6.8135424
2019-06-28,7.0,6.928787
2019-07-01,7.03,6.9742155
2019-07-02,7.09,7.025159
2019-07-03,7.1,7.060844
2019-07-04,7.1,7.0600395
2019-07-05,7.07,7.0318046
2019-07-08,6.91,6.9574785
2019-07-09,6.95,6.9231873
2019-07-10,6.94,6.9495606
2019-07-11,6.95,6.925973
2019-07-12,6.97,6.933791
2019-07-15,6.97,6.9390154
2019-07-16,6.98,6.944458
2019-07-17,6.96,6.9228926
2019-07-18,6.94,6.927305
2019-07-19,6.99,6.9319825
2019-07-22,6.99,6.9343796
2019-07-23,6.98,6.9217553
2019-07-24,6.96,6.906984
2019-07-25,6.95,6.911378
2019-07-26,6.8,6.891755
2019-07-29,6.77,6.7644844
2019-07-31,6.75,6.733708
2019-08-01,6.71,6.7114563
2019-08-02,6.5,6.6439314
2019-08-05,6.55,6.5265827
2019-08-06,6.46,6.440177
2019-08-07,6.43,6.4768987
2019-08-08,6.46,6.4747524
2019-08-09,6.51,6.512088
2019-08-13,6.38,6.475642
2019-08-14,6.45,6.471151
2019-08-15,6.31,6.3929024
2019-08-16,6.04,6.2167115
2019-08-19,6.4,6.259982
2019-08-20,6.41,6.4262514
2019-08-21,6.34,6.402985
2019-08-22,6.32,6.378768
2019-08-23,6.27,6.3475924
2019-08-26,6.25,6.2627106
2019-08-27,6.1,6.293455
2019-08-28,6.24,6.226708
2019-08-29,6.25,6.2752542
2019-08-30,6.28,6.2978973
2019-09-03,6.24,6.3046503
2019-09-04,6.2,6.252651
2019-09-05,6.2,6.2492867
2019-09-06,6.17,6.2464485
2019-09-10,6.25,6.2534122
2019-09-11,6.24,6.274872
2019-09-12,6.19,6.2985325
2019-09-13,6.2,6.22416
2019-09-17,6.15,6.2267084
2019-09-18,6.11,6.209747
2019-09-19,6.05,6.1583104
2019-09-20,6.05,6.1455297
2019-09-23,6.07,6.13474
2019-09-24,6.07,6.122734
2019-09-25,6.06,6.114498
2019-09-26,6.19,6.160806
